CUSTOM_NODE,YEAR,VALUE
MYSSH,2049,147.79
MYSSH,2050,161.38
MYSSK,2015,54.36
MYSSK,2016,55.21
MYSSK,2017,56.81
MYSSK,2018,57.15
MYSSK,2019,58.72
MYSSK,2020,59.2
MYSSK,2021,56.23
MYSSK,2022,59.97
MYSSK,2023,61.14
MYSSK,2024,62.93
MYSSK,2025,64.39
MYSSK,2026,65.72
MYSSK,2027,67.74
MYSSK,2028,69.42
MYSSK,2029,72.03
MYSSK,2030,74.91
MYSSK,2031,79.02
MYSSK,2032,81.86
MYSSK,2033,85.8
MYSSK,2034,90.19
MYSSK,2035,95.1
MYSSK,2036,100.58
MYSSK,2037,106.78
MYSSK,2038,113.68
MYSSK,2039,121.34
MYSSK,2040,129.87
MYSSK,2041,139.4
MYSSK,2042,150.07
MYSSK,2043,162
MYSSK,2044,175.29
MYSSK,2045,190.2
MYSSK,2046,206.89
MYSSK,2047,225.6
MYSSK,2048,246.57
MYSSK,2049,270.1
MYSSK,2050,296.52
SGPXX,2015,178.31
SGPXX,2016,182.48
SGPXX,2017,186.26
SGPXX,2018,189.25
SGPXX,2019,194.04
SGPXX,2020,190.44
SGPXX,2021,197.24
SGPXX,2022,201.74
SGPXX,2023,203.44
SGPXX,2024,205.78
SGPXX,2025,209.12
SGPXX,2026,212.47
SGPXX,2027,215.82
SGPXX,2028,219.17
SGPXX,2029,223.13
SGPXX,2030,227.74
SGPXX,2031,232.49
SGPXX,2032,235.62
SGPXX,2033,240.62
SGPXX,2034,245.88
SGPXX,2035,251.42
SGPXX,2036,257.36
SGPXX,2037,263.77
SGPXX,2038,270.65
SGPXX,2039,278.06
SGPXX,2040,286.02
SGPXX,2041,294.62
SGPXX,2042,303.88
SGPXX,2043,313.88
SGPXX,2044,324.68
SGPXX,2045,336.38
SGPXX,2046,349.06
SGPXX,2047,362.77
SGPXX,2048,377.64
SGPXX,2049,393.8
SGPXX,2050,411.34
KHMXX,2015,19.33
KHMXX,2016,23.26
KHMXX,2017,25.24
KHMXX,2018,32.44
KHMXX,2019,38.59
KHMXX,2020,41.36
KHMXX,2021,35.82
KHMXX,2022,41.9
KHMXX,2023,46.19
KHMXX,2024,52.06
KHMXX,2025,58.1
KHMXX,2026,64.55
KHMXX,2027,71.14
KHMXX,2028,78.19
KHMXX,2029,85.39
KHMXX,2030,93.42
KHMXX,2031,102.1
KHMXX,2032,112.28
KHMXX,2033,122.22
KHMXX,2034,133.31
KHMXX,2035,145.15
KHMXX,2036,157.97
KHMXX,2037,171.83
KHMXX,2038,186.8
KHMXX,2039,203
KHMXX,2040,220.5
KHMXX,2041,239.4
KHMXX,2042,259.88
KHMXX,2043,282.06
KHMXX,2044,306.11
KHMXX,2045,332.14
KHMXX,2046,360.4
KHMXX,2047,391.07
KHMXX,2048,424.37
KHMXX,2049,460.58
KHMXX,2050,499.9
MMRXX,2015,48.24
MMRXX,2016,47.19
MMRXX,2017,59.37
MMRXX,2018,60.99
MMRXX,2019,51.63
MMRXX,2020,54.24
MMRXX,2021,49.62
MMRXX,2022,49.32
MMRXX,2023,51.09
MMRXX,2024,52.5
MMRXX,2025,53.46
MMRXX,2026,54
MMRXX,2027,54.72
MMRXX,2028,55.08
MMRXX,2029,56.28
MMRXX,2030,56.94
MMRXX,2031,58.47
MMRXX,2032,59.82
MMRXX,2033,61.05
MMRXX,2034,62.28
MMRXX,2035,63.72
MMRXX,2036,65.31
MMRXX,2037,67.02
MMRXX,2038,68.91
MMRXX,2039,70.92
MMRXX,2040,73.05
MMRXX,2041,75.39
MMRXX,2042,77.88
MMRXX,2043,80.58
MMRXX,2044,83.52
MMRXX,2045,86.7
MMRXX,2046,90.12
MMRXX,2047,93.84
MMRXX,2048,97.89
MMRXX,2049,102.27
MMRXX,2050,107.07
LAONO,2015,5.09
LAONO,2016,6.02
LAONO,2017,5.29
LAONO,2018,6
LAONO,2019,7.44
LAONO,2020,9.24
LAONO,2021,7.23
LAONO,2022,8.82
LAONO,2023,9.07
LAONO,2024,10.14
LAONO,2025,11.2
LAONO,2026,12.51
LAONO,2027,13.97
LAONO,2028,15.26
LAONO,2029,17.15
LAONO,2030,19.51
LAONO,2031,22.17
LAONO,2032,24.75
LAONO,2033,28.29
LAONO,2034,32.02
LAONO,2035,36.49
LAONO,2036,41.58
LAONO,2037,47.48
LAONO,2038,54.28
LAONO,2039,62.13
LAONO,2040,71.2
LAONO,2041,81.68
LAONO,2042,93.8
LAONO,2043,107.86
LAONO,2044,124.11
LAONO,2045,142.98
LAONO,2046,164.87
LAONO,2047,190.29
LAONO,2048,219.85
LAONO,2049,254.25
LAONO,2050,294.33
LAOCE,2015,5.09
LAOCE,2016,6.02
LAOCE,2017,5.29
LAOCE,2018,6
LAOCE,2019,7.44
LAOCE,2020,9.24
LAOCE,2021,7.23
LAOCE,2022,8.82
LAOCE,2023,9.07
LAOCE,2024,10.14
LAOCE,2025,11.2
LAOCE,2026,12.51
LAOCE,2027,13.97
LAOCE,2028,15.26
LAOCE,2029,17.15
LAOCE,2030,19.51
LAOCE,2031,22.17
LAOCE,2032,24.75
LAOCE,2033,28.29
LAOCE,2034,32.02
LAOCE,2035,36.49
LAOCE,2036,41.58
LAOCE,2037,47.48
LAOCE,2038,54.28
LAOCE,2039,62.13
LAOCE,2040,71.2
LAOCE,2041,81.68
LAOCE,2042,93.8
LAOCE,2043,107.86
LAOCE,2044,124.11
LAOCE,2045,142.98
LAOCE,2046,164.87
LAOCE,2047,190.29
LAOCE,2048,219.85
LAOCE,2049,254.25
LAOCE,2050,294.33
LAOSO,2015,5.09
LAOSO,2016,6.02
